"X","decision_factors_decision_factors_party","decision_factors_decision_factors_personalvalues","decision_factors_decision_factors_experts","decision_factors_decision_factors_constituents","accuracy","accuracy_response","preference","preference_response","familiarity","partisan_bias","partisan_diss","pid_3","gov_exp","pid_indep","Staffer","area","ideo5","issue","republican","liberal","age","female","republican_alignment","democrat_alignment","deference_experts","deference_party","deference_personalvalues","deference_constituents","accuracy_3","treated","accuracy_bin","issue_full","Level","weight","Population_bin","Education_bin","Urban_bin","Voteshare_bin"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Democrat",14,NA,0,"local area","Moderate, middle of the road","NEP",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","HIGH","HIGH"
2,0.5,0.75,0.5,0.5,0.25,0,0,0,0.67,1,"Democrats are more likely to support the use of needle exchanges","Republican",15,NA,0,"county","Somewhat conservative","NEP",1,0,NA,NA,0,1,-0.125,-0.125,0.125,-0.125,"Misinformed",0,0,"Needle Exchange","county",1.1676963380765,"HIGH","HIGH","low","HIGH"
3,0,0.5,0.75,0.75,0.75,NA,0.833,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Democrat",25,NA,0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.5,-0.25,0.25,0.5,"Informed",1,1,"Needle Exchange","municipality",9.34530940872844e-15,"HIGH","HIGH","HIGH","low"
4,0.75,0.75,0.75,1,0.5,NA,0.333,NA,0,0,"Democrats are more likely to support the use of needle exchanges","Republican",11,NA,1,"state","Somewhat conservative","NEP",1,0,45,1,0,1,0,0,0,0.25,"Unsure",1,0,"Needle Exchange","state",NA,NA,NA,NA,NA
5,0,0.75,0.75,0.75,0,NA,0.333,NA,1,1,"Democrats are more likely to support the use of needle exchanges","Republican",5,NA,0,"local area","Moderate, middle of the road","NEP",1,0,NA,NA,0,1,0.375,-0.375,0.375,0.375,"Misinformed",1,0,"Needle Exchange","local",5.00007598160723,NA,NA,NA,NA
6,0,0.75,0.75,0.75,0.25,NA,1,NA,0.33,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",2,NA,0,"district","Somewhat conservative","NEP",1,0,63,0,0,0,0.375,-0.375,0.375,0.375,"Misinformed",1,0,"Needle Exchange","state",3.56006785167583,"low","low","low","HIGH"
7,0.25,0.75,1,1,0.75,0,0.5,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",3,NA,1,"district","Somewhat liberal","NEP",0,1,25,1,0,1,0.5,-0.25,0.25,0.5,"Informed",0,1,"Needle Exchange","state",0.724502266086655,"HIGH","HIGH","low","low"
8,0.25,0.5,1,0.75,1,NA,1,NA,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",2,NA,0,"local area","Moderate, middle of the road","NEP",1,0,58,1,0,0,0.625,-0.125,0.125,0.375,"Informed",1,1,"Needle Exchange","municipality",9.34530940872844e-15,"HIGH","HIGH","HIGH","low"
9,0,0.5,0.5,0.5,0,NA,0.667,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Republican",10,NA,0,"county","Somewhat conservative","NEP",1,0,NA,NA,0,1,0.25,-0.25,0.25,0.25,"Misinformed",1,0,"Needle Exchange","county",1.1676963380765,"low","HIGH","low","HIGH"
10,0.75,0.75,0.75,1,1,-1,0.167,0.166,1,1,"Democrats are more likely to support the use of needle exchanges","Republican",35,NA,1,"district","Very conservative","NEP",1,0,60,0,0,1,0,0,0,0.25,"Informed",0,1,"Needle Exchange","state",1.15574875385433,"HIGH","low","HIGH","HIGH"
11,0,0.75,1,1,1,NA,1,NA,1,0,"Neither party is more likely than the other to support the use of needle exchanges","Other party (Please specify):",10,"Democratic Party",0,"local area","Moderate, middle of the road","NEP",0,0,63,1,0,0,0.625,-0.375,0.375,0.625,"Informed",1,1,"Needle Exchange","municipality",9.34530940872844e-15,"HIGH","HIGH","low","low"
12,0.25,0.75,0.75,0.5,0,NA,1,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",30,NA,0,"district","Very liberal","NEP",0,1,66,1,0,1,0.25,-0.25,0.25,0,"Misinformed",1,0,"Needle Exchange","state",2.57989032166321,"low","HIGH","low","low"
13,0.25,0.5,0.75,0.75,0.75,0,0.167,0.166,0.67,1,"Democrats are more likely to support the use of needle exchanges","Republican",2,NA,1,"district","Moderate, middle of the road","NEP",1,0,24,0,0,1,0.375,-0.125,0.125,0.375,"Informed",0,1,"Needle Exchange","state",1,NA,NA,NA,NA
14,0.25,1,1,1,0.75,NA,0.5,NA,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",2,NA,1,"district","Somewhat conservative","NEP",1,0,53,0,0,0,0.375,-0.375,0.375,0.375,"Informed",1,1,"Needle Exchange","state",0.646749045140729,"HIGH","low","HIGH","HIGH"
15,0.75,0.75,0.75,1,0.75,NA,1,NA,0.33,0,"Democrats are more likely to support the use of needle exchanges","Democrat",30,NA,1,"district","Somewhat liberal","NEP",0,1,71,1,0,1,0,0,0,0.25,"Informed",1,1,"Needle Exchange","state",0.473132600708826,"HIGH","low","HIGH",NA
16,0.25,0.75,0.75,0.5,0.75,NA,0.333,NA,0.67,0,"Neither party is more likely than the other to support the use of needle exchanges","Republican",4,NA,0,"district","Somewhat conservative","NEP",1,0,66,0,0,0,0.25,-0.25,0.25,0,"Informed",1,1,"Needle Exchange","state",1,NA,NA,NA,NA
17,0.5,0.75,0.75,0.75,0.75,0,0.833,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",21,NA,1,"district","Very liberal","NEP",0,1,64,1,0,1,0.125,-0.125,0.125,0.125,"Informed",0,1,"Needle Exchange","state",1,NA,NA,NA,NA
18,0.5,0.75,1,0.75,1,NA,0.667,NA,0.33,0,"Neither party is more likely than the other to support the use of needle exchanges","Independent",3,"Republican Party",1,"district","Moderate, middle of the road","NEP",1,0,25,1,0,0,0.375,-0.125,0.125,0.125,"Informed",1,1,"Needle Exchange","state",0.990359041190242,"HIGH","HIGH","low","HIGH"
19,0.25,0.25,0.75,1,0.75,0.25,0.667,0.166,1,1,"Democrats are more likely to support the use of needle exchanges","Republican",9,NA,1,"state","Very conservative","NEP",1,0,60,0,0,1,0.5,0,0,0.75,"Informed",0,1,"Needle Exchange","state",NA,"low","low","low","HIGH"
20,0,1,1,0.75,1,NA,1,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",10,NA,1,"district","Moderate, middle of the road","NEP",0,0,52,1,0,1,0.5,-0.5,0.5,0.25,"Informed",1,1,"Needle Exchange","state",1,NA,NA,NA,NA
21,0.5,0.75,1,0.75,1,NA,1,NA,0,0,"Neither party is more likely than the other to support the use of needle exchanges","Democrat",6,NA,0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,0,0.375,-0.125,0.125,0.125,"Informed",1,1,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
22,0.75,0.75,0.75,0.75,0.5,NA,0,NA,1,1,"Democrats are more likely to support the use of needle exchanges","Republican",12,NA,0,"county","Very conservative","NEP",1,0,86,0,0,1,0,0,0,0,"Unsure",1,0,"Needle Exchange","county",0.748860181528868,"HIGH","low","low","low"
23,0,0.75,0.75,0.75,1,NA,0.833,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",43,NA,0,"county","Moderate, middle of the road","NEP",0,0,NA,NA,0,1,0.375,-0.375,0.375,0.375,"Informed",1,1,"Needle Exchange","county",0.495051171456088,"HIGH","HIGH","low","HIGH"
24,0.5,0.75,1,0,0.25,-0.25,0.167,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Other party (Please specify):",3,"Republican Party",1,"state","Moderate, middle of the road","NEP",1,0,45,1,0,1,0.375,-0.125,0.125,-0.625,"Misinformed",0,0,"Needle Exchange","state",NA,"HIGH","HIGH","HIGH","HIGH"
25,0.25,0.25,1,0.5,1,NA,1,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",3,NA,0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.75,0,0,0.25,"Informed",1,1,"Needle Exchange","municipality",9.34530940872844e-15,"HIGH","HIGH","HIGH","low"
26,0,0.75,0.75,0.25,0.5,0,0.667,0,0.67,1,"Democrats are more likely to support the use of needle exchanges","Republican",35,NA,0,"local area","Somewhat conservative","NEP",1,0,NA,NA,0,1,0.375,-0.375,0.375,-0.125,"Unsure",0,0,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
27,0,0.75,1,0.5,0.75,NA,0.333,NA,1,0,"Democrats are more likely to support the use of needle exchanges","Independent",10,"Democratic Party",0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.625,-0.375,0.375,0.125,"Informed",1,1,"Needle Exchange","township",9.34530940872844e-15,"low","HIGH","HIGH","low"
28,0,0.75,0.75,0.5,0.75,NA,0.667,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",28,NA,0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.375,-0.375,0.375,0.125,"Informed",1,1,"Needle Exchange","municipality",2.29876260014031e-14,"low","low","HIGH","low"
29,0,0.25,0.75,0.25,1,NA,0.833,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",6,NA,0,"local area","Moderate, middle of the road","NEP",0,0,NA,NA,0,1,0.625,-0.125,0.125,0.125,"Informed",1,1,"Needle Exchange","municipality",2.29876260014031e-14,"low","low","HIGH","HIGH"
30,0,0.75,1,0.5,1,0,1,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Democrat",12,NA,0,"county","Somewhat liberal","NEP",0,1,78,0,0,1,0.625,-0.375,0.375,0.125,"Informed",0,1,"Needle Exchange","county",0.495051171456088,"low","HIGH","low","HIGH"
31,0.75,0.75,0.75,0.75,0.75,NA,1,NA,0.67,0,"Democrats are more likely to support the use of needle exchanges","Other party (Please specify):",21,"Democratic Party",0,"county","Moderate, middle of the road","NEP",0,0,NA,NA,0,1,0,0,0,0,"Informed",1,1,"Needle Exchange","county",0.495051171456088,"HIGH","low","low","low"
32,0,0.25,1,0.25,1,0,0.833,0,0.67,0,"Democrats are more likely to support the use of needle exchanges","Independent",8,"Democratic Party",0,"local area","Somewhat liberal","NEP",0,1,NA,NA,0,1,0.875,-0.125,0.125,0.125,"Informed",0,1,"Needle Exchange","municipality",9.34530940872844e-15,"low","HIGH","HIGH","low"
